Module,Component,Description,Qty,Unit Price,DigiKey PN,Mouser PN,DIY Alternative,Notes
Nav HAT,MAX-M10S,u-blox GPS module,1,18.50,1909-MAX-M10S-ND,865-MAX-M10S,Build with MAX2769 RF frontend,"Multi-constellation GPS, 1.5m accuracy"
Nav HAT,ICM-42688-P,6-axis IMU,1,4.25,1428-ICM-42688-P-ND,410-ICM-42688-P,MPU-6050 (cheaper) or build with discrete accelerometer/gyro,±16g accel ±2000°/s gyro
Nav HAT,MMC5983MA,Magnetometer,1,3.50,1778-MMC5983MATR-ND,863-MMC5983MATR,HMC5883L or build with fluxgate sensor,Tilt-compensated compass
Nav HAT,BME280,Environmental sensor,1,4.95,828-BME280-ND,262-BME280,Build with discrete temp/humidity/pressure sensors,"Temp, humidity, pressure"
Nav HAT,STM32G071RBT6,MCU,1,4.85,497-STM32G071RBT6-ND,511-STM32G071RBT6,ATmega328P or ESP32-S3,"ARM Cortex-M0+, 128KB flash"
Nav HAT,Ceramic patch antenna,GPS antenna,1,8.50,712-AGGP25T3T1I1A-ND,,DIY helical or ground plane antenna,25x25mm active antenna
Nav HAT,40-pin GPIO header,Pi HAT connector,1,2.50,S7122-ND,649-67997-140HLF,Standard 2x20 header,
Power HAT,INA228,Power monitor IC,4,6.50,296-INA228AIDGSR-ND,595-INA228AIDGSR,INA226 or build with discrete op-amp + shunt,"0.1% accuracy, 85V max"
Power HAT,ADS1115,16-bit ADC,2,4.25,296-ADS1115IDGSR-ND,595-ADS1115IDGSR,Build with discrete ADC + voltage dividers,4-channel 16-bit
Power HAT,ISO1541,I2C isolator,2,2.85,296-ISO1541DR-ND,595-ISO1541DR,Optocoupler-based isolation,2500V isolation
Power HAT,STM32G071RBT6,MCU,1,4.85,497-STM32G071RBT6-ND,511-STM32G071RBT6,ATmega328P or ESP32-S3,
Power HAT,VE.Direct cable,Victron interface,1,12.00,N/A,N/A,DIY with TTL UART + JST connector,3.3V UART
Power HAT,Screw terminals 5mm,Power connections,8,0.45,ED2609-ND,651-1729128,Any 5mm pitch screw terminal,30A rated
Tank HAT,ADS1115,16-bit ADC,2,4.25,296-ADS1115IDGSR-ND,595-ADS1115IDGSR,Build with resistor networks + op-amps,6 tank inputs
Tank HAT,ESP32-S3-WROOM-1,WiFi MCU,1,3.50,1965-ESP32-S3-WROOM-1-N4-ND,356-ESP32S3WRM1N4,ESP8266 or nRF52840,WiFi for wireless tank sensors
